code,industry_code,industry_sub_code,is_main,desc,industry_sub_name,num,industry_name,nk225,nk225hdy,nk225de,nk225ge,jpxnkms,nkcrs50,date,name,category,industry33code,industry33category,industry17code,industry17category,sizecode,sizecategory
7733,33,185,true,【内視鏡で世界首位】内視鏡に経営資源を集中。新興国の販路開拓が課題。,医療用機器,11,業務用機械器具,true,false,false,true,false,false,2019-09-30 00:00:00.000000,オリンパス,市場第一部（内国株）,3750,精密機器,9,電機・精密 ,4,TOPIX Mid400
6849,33,185,true,【医用電子機器専業】脳波計、心電計、生体情報モニターなど。,医療用機器,11,業務用機械器具,false,false,false,false,false,false,2019-09-30 00:00:00.000000,日本光電工業,市場第一部（内国株）,3650,電気機器,9,電機・精密 ,4,TOPIX Mid400
7716,33,185,true,【歯科・産業用高速回転機器メーカー】売り上げの約8割は海外向け。,医療用機器,11,業務用機械器具,false,false,false,false,false,false,2019-09-30 00:00:00.000000,ナカニシ,JASDAQ(スタンダード・内国株）,3750,精密機器,9,電機・精密 ,0,
6960,33,185,true,【心電計トップ】医療用電子機器を製造販売。心電計などに強み。,医療用機器,11,業務用機械器具,false,false,false,false,false,false,2019-09-30 00:00:00.000000,フクダ電子,JASDAQ(スタンダード・内国株）,3650,電気機器,9,電機・精密 ,0,
7779,33,185,true,【大学発ベンチャー】介護、医療用の装着型ロボットを世界展開。,医療用機器,11,業務用機械器具,false,false,false,false,false,false,2019-09-30 00:00:00.000000,ＣＹＢＥＲＤＹＮＥ,マザーズ（内国株）,3750,精密機器,9,電機・精密 ,0,
6823,33,185,true,【補聴器の草分け】音響、医用、環境の各計測事業でシェア上位。,医療用機器,11,業務用機械器具,false,false,false,false,false,false,2019-09-30 00:00:00.000000,リオン,市場第一部（内国株）,3650,電気機器,9,電機・精密 ,7,TOPIX Small 2
6678,33,185,true,【採血管準備装置開発】血液ガス測定装置など検査装置も販売。,医療用機器,11,業務用機械器具,false,false,false,false,false,false,2019-09-30 00:00:00.000000,テクノメディカ,市場第一部（内国株）,3650,電気機器,9,電機・精密 ,7,TOPIX Small 2
7488,33,185,true,【理科学機器販売】小中学校向け理科学・保健医科機器トップ。,医療用機器,11,業務用機械器具,false,false,false,false,false,false,,,,-1,,-1,,-1,
6722,33,185,true,【臨床検査装置】検査試薬から分析装置まで一貫して開発・販売。,医療用機器,11,業務用機械器具,false,false,false,false,false,false,2019-09-30 00:00:00.000000,エイアンドティー,JASDAQ(スタンダード・内国株）,3650,電気機器,9,電機・精密 ,0,
7986,33,185,true,【耐火金庫製造】広沢グループ。歯科医療機器やロッカーも販売。,医療用機器,11,業務用機械器具,false,false,false,false,false,false,2019-09-30 00:00:00.000000,日本アイ・エス・ケイ,JASDAQ(スタンダード・内国株）,3800,その他製品,10,情報通信・サービスその他 ,0,
6249,33,186,true,【遊技機カード】日本GCとジョイコシステムズが経営統合。,自動販売機・券売機,3,業務用機械器具,false,false,false,false,false,false,2019-09-30 00:00:00.000000,ゲームカード・ジョイコホールディングス,JASDAQ(スタンダード・内国株）,3600,機械,8,機械 ,0,
6424,33,186,true,【券売機大手】交通・紙幣・コイン・カードの4本柱。地震計も。,自動販売機・券売機,3,業務用機械器具,false,false,false,false,false,false,2019-09-30 00:00:00.000000,高見沢サイバネティックス,JASDAQ(スタンダード・内国株）,3600,機械,8,機械 ,0,
